연번,지자체명,세부사업명,예산(백만원)
346,광주,지역산업브랜드활성화지원프로젝트(전환사업),250.0
347,광주,산업단지시설물유지보수,2895.2
348,광주,산업단지통근버스임차지원(전환사업),250.0
349,광주,굴뚝자동측정기설치·운영관리지원(보조),6.0
350,광주,소규모사업장방지시설지원(보조),580.92
351,광주,지역스타기업육성(지역산업공통),829.664
352,광주,1인창조및중장년기술창업지원,195.0
353,광주,지식재산권창출사업지원,901.801
354,광주,지역소프트웨어산업진흥지원(보조),146.0
355,광주,광주형인공지능비즈니스모델구축,5281.64
356,광주,시군구지역연고사업육성,125.55
357,광주,친환경자동차부품인증센터구축및운영,503.36
358,광주,미래신기술산업육성기반조성,657.12
359,광주,수요기반협력사밸류체인고도화및자립화패키지지원,500.0
360,광주,빅데이터기반자동차전장부품신뢰성기술고도화,1600.0
361,광주,반도체산업육성,65.32
362,광주,광주지역소재부품산업청년채용지원,73.703
363,광주,광주형뉴딜산업청년채용지원,13.59
364,광주,에너지산업메카조성,918.5
365,광주,가족친화경영추진,525.6
366,광주,지역기반형콘텐츠코리아랩운영,500.0
367,광주,광주형공공배달앱,800.0
368,광주,소상공인대상고용취약계층신규인건비지원,700.0
369,광주,국제문화창의산업전(ACEFair),880.0
370,광주,첨단융합콘텐츠제작유통지원,1304.141
371,광주,문화콘텐츠창작인발굴및마케팅지원,400.0
372,광주,여성창업지원,13.5
373,광주,지역산업공통사업,3120.625
374,광주,빛고을창업스테이션운영,2570.0
375,광주,전통시장활성화(지원),1664.594
376,광주,인공지능기업유치및지원,2339.66
377,광주,지역산업맞춤형자치단체지원(보조),1661.0
378,경북,4차산업혁명핵심기술개발사업,940.0
379,경북,로봇산업육성및지원,460.0
380,경북,농식품가공산업육성,1200.0
381,경북,농식품대외경쟁력확보,225.0
382,경북,수출기업발굴및육성,100.0
383,경북,6차산업경영체활성화지원,639.92
384,경북,공공기관연관산업기업유치및지원사업,540.0
385,경북,지역특성화산업육성(전환사업),330.0
386,경북,물기업해외마케팅지원,155.0
387,경북,물기업R&D역량강화지원,100.0
388,경북,문화콘텐츠발굴육성,1431.26
389,경북,문화상품개발육성,704.56
390,경북,전통시장노후시설개보수,629.4
391,경북,전통시장시설현대화지원(전환사업),7340.0
392,경북,전통시장화재안전지원,339.0
393,경북,전통시장활력화지원,209.0
394,경북,전통시장활성화추진,629.94
395,경북,글로벌코스메틱활성화지원사업,604.3
